time,open,high,low,close,hl2,Upper,Lower,target_bull,target_bear,os,phv,bull_top,bull_btm,bull_avg,bull_left,bear_top,bear_btm,bear_avg,bear_left,Bull OB,Bear OB,Volume,Volume MA
1699930800,1.22731,1.22733,1.2268999999999999,1.22706,1.227115,1.22808,1.2268999999999999,1.2268999999999999,1.22808,1,NaN,1.22481,1.22377,1.2242899999999999,1699887600000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,3788,8838.4
1699934400,1.22706,1.2275,1.22693,1.22711,1.2272150000000002,1.22805,1.2268999999999999,1.2268999999999999,1.22805,0,NaN,1.22481,1.22377,1.2242899999999999,1699887600000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,4701,8385.8
1699938000,1.22711,1.22719,1.22652,1.22689,1.226855,1.22765,1.22652,1.22652,1.22765,0,NaN,1.22481,1.22377,1.2242899999999999,1699887600000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,4220,8043.1
1699941600,1.22689,1.22775,1.22681,1.22758,1.22728,1.22775,1.22652,1.22652,1.22775,0,NaN,1.22481,1.22377,1.2242899999999999,1699887600000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,4822,7854.95
1699945200,1.22758,1.2301,1.22753,1.22948,1.228815,1.2301,1.22652,1.22652,1.2301,0,NaN,1.22481,1.22377,1.2242899999999999,1699887600000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,11465,7974.9
1699948800,1.22948,1.2297,1.2277,1.22817,1.2287,1.2301,1.22652,1.22652,1.2301,0,NaN,1.22481,1.22377,1.2242899999999999,1699887600000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,12023,8090.35
1699952400,1.22817,1.23031,1.22792,1.23019,1.229115,1.23031,1.22652,1.22652,1.23031,0,NaN,1.22481,1.22377,1.2242899999999999,1699887600000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,12981,8005.15
1699956000,1.23019,1.23078,1.2284599999999999,1.22892,1.22962,1.23078,1.22681,1.22681,1.23078,1,NaN,1.22481,1.22377,1.2242899999999999,1699887600000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,10547,7728.6
1699959600,1.22892,1.22919,1.22759,1.22804,1.22839,1.23078,1.22753,1.22753,1.23078,1,NaN,1.22481,1.22377,1.2242899999999999,1699887600000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,7673,7083.4
1699963200,1.22804,1.22984,1.22799,1.22933,1.228915,1.23078,1.22759,1.22759,1.23078,1,NaN,1.22481,1.22377,1.2242899999999999,1699887600000,1.2516,1.2496450000000001,1.2506225,1694502000000,NaN,NaN,8535,6813.8
1699966800,1.22933,1.24071,1.22753,1.24009,1.2341199999999999,1.24071,1.22753,1.22753,1.24071,1,NaN,1.2341199999999999,1.22753,1.2308249999999998,1699966800000,1.2516,1.2496450000000001,1.2506225,1694502000000,1.22753,NaN,42951,8444.75
1699970400,1.24009,1.24623,1.24006,1.24587,1.243145,1.24623,1.22753,1.22753,1.24623,1,NaN,1.2341199999999999,1.22753,1.2308249999999998,1699966800000,1.2516,1.2496450000000001,1.2506225,1694502000000,NaN,NaN,42512,10132.75
